iter	Passed	Remaining
127	5802	11787
128	5811	11667
129	5818	11547
130	5866	11508
131	5877	11398
132	5935	11379
133	5984	11343
134	5995	11235
135	6038	11189
136	6077	11135
137	6119	11085
138	6160	11036
139	6206	10994
140	6251	10951
141	6291	10899
142	6334	10853
143	6373	10798
144	6418	10756
145	6464	10714
146	6490	10640
147	6534	10596
148	6577	10550
149	6622	10507
150	6675	10476
151	6721	10435
152	6746	10362
153	6791	10320
154	6837	10278
155	6887	10243
156	6935	10204
157	6982	10163
158	7028	10122
159	7071	10076
160	7112	10028
161	7129	9945
162	7152	9872
163	7204	9840
164	7246	9793
165	7274	9728
166	7324	9692
167	7369	9650
168	7385	9570
169	7423	9519
170	7475	9486
171	7527	9452
172	7589	9432
173	7652	9411
174	7692	9362
175	7739	9322
176	7785	9281
177	7825	9232
178	7868	9187
179	7913	9144
180	7956	9099
181	8002	9057
182	8041	9008
183	8089	8968
184	8130	8921
185	8171	8874
186	8218	8834
187	8265	8793
188	8309	8749
189	8360	8712
190	8405	8669
191	8452	8628
192	8498	8586
193	8539	8539
194	8592	8504
195	8635	8459
196	8678	8414
197	8722	8370
198	8773	8332
199	8814	8285
200	8857	8240
201	8899	8194
202	8951	8157
203	8991	8109
204	9031	8062
205	9076	8019
206	9125	7979
207	9179	7943
208	9230	7905
209	9277	7863
210	9318	7817
211	9368	7777
212	9430	7748
213	9493	7718
214	9547	7682
215	9597	7642
216	9645	7600
217	9699	7563
218	9785	7551
219	9847	7519
220	9917	7494
221	9972	7456
222	10013	7409
223	10055	7362
224	10099	7316
225	10143	7270
226	10203	7237
227	10248	7192
228	10301	7152
229	10349	7109
230	10397	7066
231	10450	7027
232	10495	6982
233	10544	6939
234	10599	6901
235	10640	6853
236	10689	6810
237	10739	6768
238	10783	6723
239	10836	6682
240	10879	6636
241	10924	6590
242	10964	6542
243	11003	6493
244	11055	6452
245	11100	6407
246	11141	6360
247	11195	6319
248	11237	6273
249	11281	6227
250	11333	6186
251	11374	6138
252	11420	6094
253	11464	6048
254	11511	6003
255	11551	5956
256	11596	5911
257	11648	5869
258	11711	5832
259	11780	5799
260	11836	5759
261	11886	5716
262	11939	5674
263	11988	5630
264	12032	5585
265	12077	5539
266	12126	5495
267	12183	5455
268	12249	5418
269	12306	5378
270	12360	5336
271	12416	5295
272	12471	5253
273	12522	5210
274	12576	5167
275	12634	5127
276	12688	5084
277	12742	5042
278	12793	4998
279	12846	4955
280	12898	4911
281	12966	4873
282	13018	4830
283	13063	4783
284	13107	4736
285	13153	4691
286	13201	4645
287	13245	4599
288	13292	4553
289	13341	4508
290	13386	4462
291	13439	4418
292	13488	4373
293	13533	4326
294	13581	4281
295	13631	4236
296	13694	4195
297	13743	4150
298	13794	4105
299	13858	4065
300	13911	4020
301	13965	3976
302	14009	3929
303	14050	3882
304	14094	3835
305	14140	3789
306	14197	3745
307	14248	3700
308	14301	3656
309	14355	3611
310	14409	3567
311	14483	3527
312	14531	3481
313	14575	3434
314	14623	3388
315	14665	3341
316	14711	3295
317	14758	3248
318	14803	3201
319	14850	3155
320	14897	3109
321	14941	3062
322	14988	3016
323	15033	2969
324	15084	2924
325	15149	2881
326	15198	2835
327	15246	2789
328	15316	2746
329	15362	2700
330	15408	2653
331	15450	2606
332	15487	2558
333	15535	2511
334	15578	2464
335	15622	2417
336	15663	2370
337	15704	2323
338	15747	2276
339	15791	2229
340	15837	2182
341	15881	2136
342	15927	2089
343	15972	2042
344	16015	1996
345	16059	1949
346	16106	1903
347	16146	1855
348	16187	1808
349	16241	1763
350	16298	1718
351	16352	1672
352	16403	1626
353	16452	1580
354	16501	1533
355	16553	1487
356	16605	1441
357	16659	1396
358	16756	1353
359	16813	1307
360	16868	1261
361	16921	1215
362	16972	1168
363	17022	1122
364	17084	1076
365	17142	1030
366	17201	984
367	17257	937
368	17312	891
369	17367	844
370	17428	798
371	17485	752
372	17536	705
373	17587	658
374	17636	611
375	17687	564
376	17737	517
377	17785	470
378	17830	423
379	17882	376
380	17944	329
381	17997	282
382	18046	235
383	18096	188
384	18144	141
385	18193	94
386	18244	47
387	18292	0
